"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 16 11:36:08 CST 2022","Wed Mar 16 11:36:08 CST 2022","103","","QA_AssetUnlock","","","","test_invalid_order_id",""
"passed","Wed Mar 16 11:36:08 CST 2022","Wed Mar 16 11:36:08 CST 2022","142","","QA_AssetUnlock","","","","test_positive_case",""
"passed","Wed Mar 16 11:36:11 CST 2022","Wed Mar 16 11:36:11 CST 2022","116","","QA_AssetUnlock","","","","test_unlock_asset_with_wrong_type_one",""
"passed","Wed Mar 16 11:36:10 CST 2022","Wed Mar 16 11:36:10 CST 2022","93","","QA_AssetUnlock","","","","test_unlock_asset_with_wrong_type_three",""
"broken","Wed Mar 16 11:36:11 CST 2022","Wed Mar 16 11:36:11 CST 2022","0","","QA_AssetUnlock","","","","test_unlock_multiple_assets",""
"passed","Wed Mar 16 11:36:11 CST 2022","Wed Mar 16 11:36:11 CST 2022","83","","QA_AssetUnlock","","","","test_invalid_unlock_type",""
"passed","Wed Mar 16 11:36:09 CST 2022","Wed Mar 16 11:36:09 CST 2022","113","","QA_AssetUnlock","","","","test_not_exist_order_id",""
"failed","Wed Mar 16 11:36:10 CST 2022","Wed Mar 16 11:36:10 CST 2022","106","","QA_AssetUnlock","","","","test_unlock_asset_with_wrong_type_two",""
"passed","Wed Mar 16 11:36:10 CST 2022","Wed Mar 16 11:36:10 CST 2022","89","","QA_AssetUnlock","","","","test_unlock_asset_with_wrong_open_id",""
"failed","Wed Mar 16 11:36:09 CST 2022","Wed Mar 16 11:36:09 CST 2022","104","","QA_AssetUnlock","","","","test_order_id_exist",""
